SlNo,DIST_NAME,DIST_ID,block_name,BLK_NAME01,id,T_max1,T_max2,T_max3,T_max4,T_max5,T_Min1,T_Min2,T_Min3,T_Min4,T_Min5
309,SUNDARGARH,30,Bisra,Bisra,309,42,42,43,44,43,26,25,26,27,29
280,RAYAGADA,27,Bissam Cuttack,Bissam Cuttack,280,40,40,40,41,40,26,25,26,27,29
256,NUAPADA,25,Boden,Boden,256,42,41,42,43,42,26,25,26,27,29
204,KORAPUT,20,Boipariguda,Boipariguda,204,39,39,39,39,39,26,25,26,27,29
203,KORAPUT,20,Boriguma,Boriguma,203,38,38,38,39,38,26,25,26,27,29
54,BOUDH,6,Boudh,Boudh,54,43,43,43,44,44,26,25,26,27,29
262,PURI,26,Bramhagiri,Bramhagiri,262,38,37,38,39,38,26,25,26,27,29
106,GANJAM,11,Buguda,Buguda,106,39,38,39,40,39,26,25,26,27,29
148,KANDHAMAL,16,Chakapad,Chakapad,148,40,40,40,41,41,26,25,26,27,29
178,KEONJHAR,18,Champua,Champua,178,39,39,40,41,40,26,25,26,27,29
37,BHADRAK,4,Chandabali,Chandabali,37,39,38,39,40,39,26,25,26,27,29
247,NAWARANGAPUR,23,Chandahandi,Chandahandi,247,40,40,41,41,41,26,25,26,27,29
282,RAYAGADA,27,Chandrapur,Chandrapur,282,40,40,40,41,40,26,25,26,27,29
89,GANJAM,11,Chhatrapur,Chhatrapur,89,36,35,36,37,36,26,25,26,27,29
3,ANGUL,1,Chhendipada,Chhendipada,3,40,41,43,43,43,26,25,26,27,29
99,GANJAM,11,Chikiti,Chikiti,99,37,36,37,38,37,26,25,26,27,29
61,CUTTACK,7,Cuttack Sadar,Cuttack Sadar,61,38,38,39,40,39,26,25,26,27,29
243,NAWARANGAPUR,23,Dabugan,Dabugan,243,39,39,39,40,39,26,25,26,27,29
123,JAJPUR,13,Danagadi,Danagadi,123,39,39,39,40,40,26,25,26,27,29
149,KANDHAMAL,16,Daringbadi,Daringbadi,149,40,40,41,42,41,26,25,26,27,29
196,KORAPUT,20,Dasamantapur,Dasamantapur,196,38,38,39,39,38,26,25,26,27,29
249,NAYAGARH,24,Dasapalla,Dasapalla,249,40,40,40,41,41,26,25,26,27,29
121,JAJPUR,13,Dasarathpur,Dasarathpur,121,39,39,39,40,39,26,25,26,27,29
263,PURI,26,Delanga,Delanga,263,39,38,39,40,39,26,25,26,27,29
44,BALANGIR,5,Deogaon,Deogaon,44,43,43,43,44,44,26,25,26,27,29
160,KENDRAPARA,17,Derabisi,Derabisi,160,38,38,39,40,39,26,25,26,27,29
38,BHADRAK,4,Dhamanagar,Dhamanagar,38,40,39,40,40,39,26,25,26,27,29
284,SAMBALPUR,28,Dhankauda,Dhankauda,284,43,43,44,44,43,26,25,26,27,29
108,GANJAM,11,Dharakote,Dharakote,108,39,38,39,40,39,26,25,26,27,29
141,KALAHANDI,15,Dharamgarh,Dharamgarh,141,41,41,42,42,41,26,25,26,27,29
126,JAJPUR,13,Dharmasala,Dharmasala,126,39,39,39,40,40,26,25,26,27,29
73,DHENKANAL,9,Dhenkanal,Dhenkanal,73,39,38,39,40,39,26,25,26,27,29
102,GANJAM,11,Digapahandi,Digapahandi,102,38,38,38,39,38,26,25,26,27,29
295,SONEPUR,29,Dunguripali,Dunguripali,295,42,42,43,43,43,26,25,26,27,29
118,JAGATSINGHPUR,12,Ersama,Ersama,118,38,38,39,39,39,26,25,26,27,29
150,KANDHAMAL,16,G. Udayagiri,G. Udayagiri,150,40,40,40,41,41,26,25,26,27,29
28,BARAGARH,3,Gaisilet,Gaisilet,28,42,42,43,43,43,26,25,26,27,29
74,DHENKANAL,9,Gandia,Gandia,74,39,39,39,40,40,26,25,26,27,29
250,NAYAGARH,24,Gania,Gania,250,40,40,41,41,41,26,25,26,27,29
90,GANJAM,11,Ganjam,Ganjam,90,37,36,36,37,37,26,25,26,27,29
163,KENDRAPARA,17,Garadpur,Garadpur,163,38,38,39,40,39,26,25,26,27,29
176,KEONJHAR,18,Ghasipura,Ghasipura,176,39,39,39,40,40,26,25,26,27,29
173,KEONJHAR,18,Ghatgaon,Ghatgaon,173,39,39,39,40,40,26,25,26,27,29
146,KALAHANDI,15,Golamunda,Golamunda,146,42,42,43,43,42,26,25,26,27,29
264,PURI,26,Gop,Gop,264,38,38,39,39,39,26,25,26,27,29
223,MAYURBHANJ,22,Gopabandhunagar,Gopabandhunagar,223,39,38,39,40,40,26,25,26,27,29
278,RAYAGADA,27,Gudari,Gudari,278,39,39,40,40,39,26,25,26,27,29
42,BALANGIR,5,Gudvela,Gudvela,42,42,42,43,43,43,26,25,26,27,29
84,GAJAPATI,10,Gumma,Gumma,84,38,38,38,39,38,26,25,26,27,29
276,RAYAGADA,27,Gunupur,Gunupur,276,39,38,39,39,39,26,25,26,27,29
313,SUNDARGARH,30,Gurundia,Gurundia,313,41,42,42,43,43,26,25,26,27,29
56,BOUDH,6,Harbhanga,Harbhanga,56,41,42,42,43,43,26,25,26,27,29
174,KEONJHAR,18,Harichandanpur,Harichandanpur,174,39,39,39,40,40,26,25,26,27,29
177,KEONJHAR,18,Hatadihi,Hatadihi,177,39,39,39,40,39,26,25,26,27,29
298,SUNDARGARH,30,Hemgiri,Hemgiri,298,42,42,43,44,43,26,25,26,27,29
76,DHENKANAL,9,Hindol,Hindol,76,40,40,42,42,42,26,25,26,27,29
